seed,strategy,model,n_samples,macro_f1,test_minority_ratio,dataset
4,Stratified,KNN,500,0.47089947089947093,0.1,mimic3c
4,Stratified,LogisticReg,500,0.6453900709219859,0.1,mimic3c
4,Stratified,SVM,500,0.4736842105263158,0.1,mimic3c
4,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
4,Stratified,RandomForest,500,0.5670995670995671,0.1,mimic3c
4,Stratified,NaiveBayes,500,0.22930637573816434,0.1,mimic3c
4,Random,DecisionTree,500,0.6603260869565217,0.06,mimic3c
4,Random,KNN,500,0.825479930191972,0.06,mimic3c
4,Random,LogisticReg,500,0.7894736842105263,0.06,mimic3c
4,Random,SVM,500,0.4845360824742268,0.06,mimic3c
4,Random,MLP,500,0.4845360824742268,0.06,mimic3c
4,Random,RandomForest,500,0.825479930191972,0.06,mimic3c
4,Random,NaiveBayes,500,0.26108374384236455,0.06,mimic3c
5,Stratified,DecisionTree,500,0.5,0.1,mimic3c
5,Stratified,KNN,500,0.5567375886524824,0.1,mimic3c
5,Stratified,LogisticReg,500,0.5821279331404693,0.1,mimic3c
5,Stratified,SVM,500,0.4736842105263158,0.1,mimic3c
5,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
5,Stratified,RandomForest,500,0.5567375886524824,0.1,mimic3c
5,Stratified,NaiveBayes,500,0.21968787515006002,0.1,mimic3c
5,Random,DecisionTree,500,0.7222222222222222,0.1,mimic3c
5,Random,KNN,500,0.4736842105263158,0.1,mimic3c
5,Random,LogisticReg,500,0.7282608695652173,0.1,mimic3c
5,Random,SVM,500,0.4736842105263158,0.1,mimic3c
5,Random,MLP,500,0.4736842105263158,0.1,mimic3c
5,Random,RandomForest,500,0.6036036036036037,0.1,mimic3c
5,Random,NaiveBayes,500,0.22807017543859648,0.1,mimic3c
6,Stratified,DecisionTree,500,0.7605746209098163,0.1,mimic3c
6,Stratified,KNN,500,0.5670995670995671,0.1,mimic3c
6,Stratified,LogisticReg,500,0.6464159434265508,0.1,mimic3c
6,Stratified,SVM,500,0.4736842105263158,0.1,mimic3c
6,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
6,Stratified,RandomForest,500,0.6297819827231592,0.1,mimic3c
6,Stratified,NaiveBayes,500,0.25523349436392917,0.1,mimic3c
6,Random,DecisionTree,500,0.7107039537126326,0.1,mimic3c
6,Random,KNN,500,0.5475113122171945,0.1,mimic3c
6,Random,LogisticReg,500,0.7477477477477477,0.1,mimic3c
6,Random,SVM,500,0.4736842105263158,0.1,mimic3c
6,Random,MLP,500,0.4736842105263158,0.1,mimic3c
6,Random,RandomForest,500,0.5670995670995671,0.1,mimic3c
6,Random,NaiveBayes,500,0.24812030075187969,0.1,mimic3c
7,Stratified,DecisionTree,500,0.7557997557997558,0.1,mimic3c
7,Stratified,KNN,500,0.4736842105263158,0.1,mimic3c
7,Stratified,LogisticReg,500,0.7477477477477477,0.1,mimic3c
7,Stratified,SVM,500,0.4736842105263158,0.1,mimic3c
7,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
7,Stratified,RandomForest,500,0.6297819827231592,0.1,mimic3c
7,Stratified,NaiveBayes,500,0.23878205128205132,0.1,mimic3c
7,Random,DecisionTree,500,0.7557997557997558,0.11,mimic3c
7,Random,KNN,500,0.5475113122171946,0.11,mimic3c
7,Random,LogisticReg,500,0.7282608695652175,0.11,mimic3c
7,Random,SVM,500,0.4708994708994709,0.11,mimic3c
7,Random,MLP,500,0.4680851063829787,0.11,mimic3c
7,Random,RandomForest,500,0.6756756756756757,0.11,mimic3c
7,Random,NaiveBayes,500,0.2299229922992299,0.11,mimic3c
8,Stratified,DecisionTree,500,0.5914198161389173,0.1,mimic3c
8,Stratified,KNN,500,0.6159754224270354,0.1,mimic3c
8,Stratified,LogisticReg,500,0.6603260869565217,0.1,mimic3c
8,Stratified,SVM,500,0.47089947089947093,0.1,mimic3c
8,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
8,Stratified,RandomForest,500,0.6927803379416282,0.1,mimic3c
8,Stratified,NaiveBayes,500,0.25732637494981936,0.1,mimic3c
8,Random,DecisionTree,500,0.6806681405060182,0.06,mimic3c
8,Random,KNN,500,0.47643979057591623,0.06,mimic3c
8,Random,LogisticReg,500,0.7120526532291238,0.06,mimic3c
8,Random,SVM,500,0.4845360824742268,0.06,mimic3c
8,Random,MLP,500,0.4845360824742268,0.06,mimic3c
8,Random,RandomForest,500,0.7091332169866201,0.06,mimic3c
8,Random,NaiveBayes,500,0.17703733440385386,0.06,mimic3c
9,Stratified,DecisionTree,500,0.6463306808134395,0.1,mimic3c
9,Stratified,KNN,500,0.6453900709219859,0.1,mimic3c
9,Stratified,LogisticReg,500,0.6927803379416282,0.1,mimic3c
9,Stratified,SVM,500,0.4736842105263158,0.1,mimic3c
9,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
9,Stratified,RandomForest,500,0.6927803379416282,0.1,mimic3c
9,Stratified,NaiveBayes,500,0.21968787515006002,0.1,mimic3c
9,Random,DecisionTree,500,0.6571428571428571,0.14,mimic3c
9,Random,KNN,500,0.5315315315315315,0.14,mimic3c
9,Random,LogisticReg,500,0.6666666666666666,0.14,mimic3c
9,Random,SVM,500,0.4623655913978495,0.14,mimic3c
9,Random,MLP,500,0.45945945945945943,0.14,mimic3c
9,Random,RandomForest,500,0.646415943426551,0.14,mimic3c
9,Random,NaiveBayes,500,0.2699269926992699,0.14,mimic3c
10,Stratified,DecisionTree,500,0.6541633413141793,0.1,mimic3c
10,Stratified,KNN,500,0.5567375886524824,0.1,mimic3c
10,Stratified,LogisticReg,500,0.7107039537126326,0.1,mimic3c
10,Stratified,SVM,500,0.4736842105263158,0.1,mimic3c
10,Stratified,MLP,500,0.4736842105263158,0.1,mimic3c
10,Stratified,RandomForest,500,0.5567375886524824,0.1,mimic3c
10,Stratified,NaiveBayes,500,0.21875,0.1,mimic3c
10,Random,DecisionTree,500,0.680139575457982,0.13,mimic3c
10,Random,KNN,500,0.4652406417112299,0.13,mimic3c
